Name,poi
BELDEN TIMOTHY N,0.35
BOWEN JR RAYMOND M,0.45
HANNON KEVIN P,0.34
DELAINEY DAVID W,0.15
CAUSEY RICHARD A,0.39
HICKERSON GARY J,0.41
FREVERT MARK A,0.52
CHAN RONNIE,0.03
DONAHUE JR JEFFREY M,0.11
REYNOLDS LAWRENCE,0.09
HORTON STANLEY C,0.09
LEWIS RICHARD,0.01
SHERRICK JEFFREY B,0.01
MEYER JEROME J,0.0
DERRICK JR. JAMES V,0.32
PIRO JIM,0.04
DETMERING TIMOTHY J,0.01
KISHKILL JOSEPH G,0.29
BAY FRANKLIN R,0.21
PRENTICE JAMES,0.0
TOTAL,0.61
FALLON JAMES B,0.46
METTS MARK,0.04
WODRASKA JOHN,0.03
MORDAUNT KRISTINA M,0.0
CARTER REBECCA C,0.13
BHATNAGAR SANJAY,0.08
WALTERS GARETH W,0.0
BIBI PHILIPPE A,0.17
SHERRIFF JOHN R,0.44
GIBBS DANA R,0.02
LINDHOLM TOD A,0.05
MCMAHON JEFFREY,0.49
