Name,poi
BELDEN TIMOTHY N,0.25
BOWEN JR RAYMOND M,0.52
HANNON KEVIN P,0.4
DELAINEY DAVID W,0.19
CAUSEY RICHARD A,0.26
HICKERSON GARY J,0.33
FREVERT MARK A,0.6
CHAN RONNIE,0.04
DONAHUE JR JEFFREY M,0.14
REYNOLDS LAWRENCE,0.1
HORTON STANLEY C,0.13
LEWIS RICHARD,0.02
SHERRICK JEFFREY B,0.05
MEYER JEROME J,0.02
DERRICK JR. JAMES V,0.19
PIRO JIM,0.01
DETMERING TIMOTHY J,0.03
KISHKILL JOSEPH G,0.32
BAY FRANKLIN R,0.14
PRENTICE JAMES,0.01
TOTAL,0.83
FALLON JAMES B,0.44
METTS MARK,0.06
WODRASKA JOHN,0.05
MORDAUNT KRISTINA M,0.06
CARTER REBECCA C,0.03
BHATNAGAR SANJAY,0.11
WALTERS GARETH W,0.08
BIBI PHILIPPE A,0.17
SHERRIFF JOHN R,0.33
GIBBS DANA R,0.03
LINDHOLM TOD A,0.09
MCMAHON JEFFREY,0.29
