Name,poi
BELDEN TIMOTHY N,0.3788439105541852
BOWEN JR RAYMOND M,0.9744218121787026
HANNON KEVIN P,0.1649441978319289
DELAINEY DAVID W,0.0007586837836556652
CAUSEY RICHARD A,0.0013123514798260409
HICKERSON GARY J,0.9797242467325096
FREVERT MARK A,0.6927832623080082
CHAN RONNIE,0.00016744386260941982
DONAHUE JR JEFFREY M,0.00021581050215971304
REYNOLDS LAWRENCE,0.0004080218935798266
HORTON STANLEY C,0.0003396891083277258
LEWIS RICHARD,0.00016744386260941982
SHERRICK JEFFREY B,0.00016744386260941982
MEYER JEROME J,0.00016744386260941982
DERRICK JR. JAMES V,0.927797205602724
PIRO JIM,0.0004620236576819672
DETMERING TIMOTHY J,0.00016744386260941982
KISHKILL JOSEPH G,0.057625110947428
BAY FRANKLIN R,0.02222036887033659
PRENTICE JAMES,0.00016744386260941982
TOTAL,0.9995051284001395
FALLON JAMES B,0.8395448767996493
METTS MARK,0.00021581050215971304
WODRASKA JOHN,0.0003967793665238717
MORDAUNT KRISTINA M,0.00016744386260941982
CARTER REBECCA C,0.00016744386260941982
BHATNAGAR SANJAY,0.0001514930279095761
WALTERS GARETH W,0.00016744386260941982
BIBI PHILIPPE A,0.0004542737511214024
SHERRIFF JOHN R,0.0015972877642311165
GIBBS DANA R,0.00016744386260941982
LINDHOLM TOD A,0.00019988587400013207
MCMAHON JEFFREY,0.9288650220646184
