Name,poi
BELDEN TIMOTHY N,0.18
BOWEN JR RAYMOND M,0.33
HANNON KEVIN P,0.2
DELAINEY DAVID W,0.09
CAUSEY RICHARD A,0.18
HICKERSON GARY J,0.3
FREVERT MARK A,0.44
CHAN RONNIE,0.0
DONAHUE JR JEFFREY M,0.03
REYNOLDS LAWRENCE,0.1
HORTON STANLEY C,0.02
LEWIS RICHARD,0.0
SHERRICK JEFFREY B,0.0
MEYER JEROME J,0.0
DERRICK JR. JAMES V,0.33
PIRO JIM,0.01
DETMERING TIMOTHY J,0.0
KISHKILL JOSEPH G,0.37
BAY FRANKLIN R,0.16
PRENTICE JAMES,0.0
TOTAL,0.83
FALLON JAMES B,0.33
METTS MARK,0.01
WODRASKA JOHN,0.01
MORDAUNT KRISTINA M,0.0
CARTER REBECCA C,0.0
BHATNAGAR SANJAY,0.03
WALTERS GARETH W,0.03
BIBI PHILIPPE A,0.04
SHERRIFF JOHN R,0.34
GIBBS DANA R,0.0
LINDHOLM TOD A,0.04
MCMAHON JEFFREY,0.33
