Name,poi
BELDEN TIMOTHY N,0.12
BOWEN JR RAYMOND M,0.29
HANNON KEVIN P,0.2
DELAINEY DAVID W,0.07
CAUSEY RICHARD A,0.19
HICKERSON GARY J,0.18
FREVERT MARK A,0.15
CHAN RONNIE,0.02
DONAHUE JR JEFFREY M,0.2
REYNOLDS LAWRENCE,0.22
HORTON STANLEY C,0.04
LEWIS RICHARD,0.05
SHERRICK JEFFREY B,0.12
MEYER JEROME J,0.02
DERRICK JR. JAMES V,0.15
PIRO JIM,0.11
DETMERING TIMOTHY J,0.02
KISHKILL JOSEPH G,0.17
BAY FRANKLIN R,0.11
PRENTICE JAMES,0.0
TOTAL,0.15
FALLON JAMES B,0.12
METTS MARK,0.09
WODRASKA JOHN,0.0
MORDAUNT KRISTINA M,0.06
CARTER REBECCA C,0.08
BHATNAGAR SANJAY,0.37
WALTERS GARETH W,0.03
BIBI PHILIPPE A,0.13
SHERRIFF JOHN R,0.17
GIBBS DANA R,0.06
LINDHOLM TOD A,0.11
MCMAHON JEFFREY,0.26
