Name,poi
BELDEN TIMOTHY N,0.4
BOWEN JR RAYMOND M,0.33
HANNON KEVIN P,0.18
DELAINEY DAVID W,0.31
CAUSEY RICHARD A,0.36
HICKERSON GARY J,0.22
FREVERT MARK A,0.37
CHAN RONNIE,0.18
DONAHUE JR JEFFREY M,0.25
REYNOLDS LAWRENCE,0.28
HORTON STANLEY C,0.2
LEWIS RICHARD,0.15
SHERRICK JEFFREY B,0.22
MEYER JEROME J,0.18
DERRICK JR. JAMES V,0.26
PIRO JIM,0.18
DETMERING TIMOTHY J,0.09
KISHKILL JOSEPH G,0.15
BAY FRANKLIN R,0.15
PRENTICE JAMES,0.17
TOTAL,0.72
FALLON JAMES B,0.32
METTS MARK,0.14
WODRASKA JOHN,0.18
MORDAUNT KRISTINA M,0.18
CARTER REBECCA C,0.26
BHATNAGAR SANJAY,0.2
WALTERS GARETH W,0.18
BIBI PHILIPPE A,0.33
SHERRIFF JOHN R,0.36
GIBBS DANA R,0.18
LINDHOLM TOD A,0.28
MCMAHON JEFFREY,0.29
